symbol,V,DM4,DM2,DM1,VA2,DC2,D,VM3_VA5,DL5,VA1v,DA1,DL3,VA1d,VP1l_VP3,DP1m_DC4,VP4_VP1d_VP2,DL2d/v_DP1l_VC3l,VL1_VM1,DC1
Arc2,0.0,0.23285553732755898,0.1837211849448614,0.19222436553883296,0.0,0.2572070490243723,0.3218686772975934,0.3382546724610227,0.11990111374755726,0.17894362931706792,0.13044721270858486,0.0,0.0,0.3893015790300144,0.12796066384516186,0.0,0.15210310335329105,0.0,0.07687207951308299
Tfb1,0.29342347102957206,0.45632080424713006,0.2373085791264515,0.1818754817008673,0.13595955893348544,0.10879992694734393,0.7207992721277012,0.26170484700572816,0.834856662377098,0.24575503786326433,0.47060555756404787,0.0,1.7117065526951851,0.0,0.8079112919662316,0.0,0.12041736337790523,0.0,0.4373211288730571
Obp50e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dh44-R1,1.7841431333628186,0.0,0.08483063609979331,0.07783333705568359,0.0,0.0,0.0,0.0,0.07661628687945095,0.0,4.234662855762074,0.0,0.9052958490663615,0.3628462869145687,0.35512707397902726,0.4097487451363141,0.32944647585815257,0.0,0.13221729815238545
CG10104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037071701776758767,0.12606579199679901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG17385,0.4341135839237893,0.6450712523510918,0.9071712225707443,0.8338698031949784,0.6440516037575633,1.0032917456947206,0.8253465729195293,0.3687154572536236,1.5158141151525808,0.9976545961627565,1.2004675675114758,0.0,1.0230090266510878,0.23410828854266055,0.7535086145936746,0.8824206059113865,0.4881041997561244,0.6881267081620274,1.2417063389031473
Sin1,0.07906088975309329,0.051618345154738635,0.0537365255933295,0.10947424685524618,0.1457702348080677,0.2727099237641064,0.31768881034164714,0.0,0.07425872882298568,0.08045887253200952,0.21924137788034637,0.47509272007193903,0.5471000754544983,0.0,0.0,0.12139163747521775,0.062266352015162826,0.8300891851496485,0.13626444524720704
CG17386,0.21106485124580537,0.20185838320449553,0.0,0.2185853872018448,0.1748411679815376,0.0,0.0,0.1490656902919499,0.1282160115539189,0.06824127457323964,0.0302548080243395,0.7428288773033165,0.3176386005604921,0.5831641295418452,0.11334359623144986,0.03874975448600717,0.11017184230964802,0.33864336772952214,0.05885047465269423
Cpr51A,1.3964094306615393,1.0748156363102166,0.32231735876884315,0.768628371215869,0.4794670637312867,1.0847923872432501,1.4638813525371286,0.5099860543763649,1.542570258082015,0.7488423863458497,1.1767258306965391,1.6300476166731361,1.3480535132750997,1.0763559181614957,0.6198034061794658,1.521477190378188,1.234066085581242,0.643283841926917,1.241470989099786
CG12869,0.0,0.007878788878870353,0.0,0.0,0.0,0.0,0.0,0.05393135746106709,0.0,0.12071025007781484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
