symbol,DA1,VA2,DM1,DL3,DA4l,VM4,DM3,DM4,VL2a,DP1l,V,VA1v,VA1d,VC3,VL1,DL4,DL5,DC3,VM3,DM2
bon,1.2028353415326298,1.2754361897446866,1.6267906332168516,1.000381472781493,2.0678565449433965,1.6905889762123745,0.6780963586855686,1.626052041551273,0.6688562231285524,1.0945393914407404,0.8499305239298247,0.7741784748729861,1.644901473973331,1.919898103717461,1.301255083003287,1.280562223803201,1.4378228095938852,0.48725391587628797,1.3901237448953476,1.1499350411083065
aay,0.0,0.31148811662703024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21020748736877656,0.0,0.06033460499710943,0.0,0.9745094308298713,0.0,0.0,0.0
a6,0.5155205618191441,0.596838573598076,0.5569095271763523,0.5014583195943345,0.5497671963544523,0.056727736117602984,0.6232784068049498,0.6187910344570142,0.6800722926104777,0.7985634416661521,0.889355779962516,0.6395716460386431,0.4477549454872364,0.6350962745892264,0.4780034429737538,0.5422759515996657,0.0,0.8299776597990935,0.7018117552392277,0.40698872367307143
Uba1,4.015170054412663,4.426653118138214,4.652409765009326,4.062895006788722,4.514270511821881,1.6442280093027857,3.533300735498226,4.151092826773578,3.364947912034423,3.4268904408352867,3.503812012958439,3.842248350355431,3.8271136019498657,2.162419666850129,1.5415291092764034,2.7387151065186344,4.728342182120202,2.2617339520281106,6.476103859465858,3.4076816852652922
SmD3,0.6707493079933078,1.3327164159611045,2.8444637971142477,0.6644693617519568,0.7228585820982677,0.0,0.7666395670720438,1.7118303846471647,0.5335273482502141,0.22065984109171563,0.9460430693403735,1.4021468609644887,1.2749588570398167,0.34422973238398896,0.0,0.8394453891025432,1.695363755556303,0.6080570422292774,1.9473685770774203,1.4700694302355288
AMPKalpha,0.0,1.261826108116855,0.0,0.5338063598453999,0.8704172281751923,1.162388902997706,1.2568523804691407,1.991823763938764,1.4777390065945444,1.182094484414003,0.47523729652333124,0.4097172299611791,0.8871003098582843,0.6945776430953606,0.775066810727176,0.2794022115232337,0.9581209695132834,0.7881617826140498,1.1397828097160496,1.565353242401361
RpL39,6.685671465369505,7.102693944043659,7.293956804007519,6.719047794550541,7.371097805694829,6.65411815016632,7.463716951145883,6.81580892870404,7.001631147199096,6.827121640854028,6.277106599041282,7.991286655895997,7.180953302334927,6.538590906475267,6.039384648066859,6.5474668378998535,7.996643858525313,6.529506746204398,7.844819530046931,7.827105262931986
rnh1,1.4521576673980396,0.8008142280457519,1.1765856100932341,0.29325257998515214,0.24012855495314103,1.2386869435971075,0.8158095013423604,1.634401163855005,0.7341543957203536,0.7386449746014266,0.7565829608900728,1.011477689231063,1.6566094310170805,0.0,1.0519170259306554,0.5966967917646894,1.7489842357476626,0.3355221634710683,1.9585468668374577,0.34451129114353435
RhoGEF2,0.9277607543241191,0.7721895439137252,0.24167532769305763,0.4138834300641272,0.21352809528103084,0.0,0.7684273302410747,1.6450618105201014,0.07419858227114871,0.0,0.7403527029914068,0.5436480102985812,2.1893786442634853,0.538089065719393,0.11617284458514403,0.628841266456725,1.560761291020281,0.3239098942572105,0.22848268699171112,0.5102728086108256
Prosbeta2,4.8853377145852175,4.960589485398001,4.223507108735127,4.105455633897425,4.964964684471012,3.3097643772307923,2.329635152635993,6.688932297919305,3.2948444772809466,3.9846426732749802,4.375472236679796,4.442818612565595,5.602686304618402,3.0100876882558496,2.212616266183327,3.2981947112565946,7.11797845634131,2.811726920553824,3.1915781927260385,3.419935207439529
